Unique_ID,org_name,org_url,Twitter_URL,Twitter_handle,earliest_tweet_in_db,number_of_tweets_in_db
1,'Coin Desk',,https://twitter.com/CoinDesk,CoinDesk,,
2,'PlanB',,https://twitter.com/100trillionUSD,100trillionUSD,,
3,'David Battaglia',,https://twitter.com/DBATTAGLIAYtube,DBATTAGLIAYtube,,
4,'Bitcoin Jackr',,https://twitter.com/BTC_JackSparrow,BTC_JackSparrow,,
5,'Bolsa Zone',,https://twitter.com/BolsaZone,BolsaZone,,
6,'Dev Chart',,https://twitter.com/devchart,devchart,,
7,'Chris Burniske',,https://twitter.com/cburniske,cburniske,,
8,'Emin Gün Sirer',,https://twitter.com/el33th4xor,el33th4xor,,
9,'Fred Ehrsam',,https://twitter.com/FEhrsam,FEhrsam,,
10,'Crypto dot com',,https://twitter.com/cryptocom,cryptocom,,
11,'Jose Maria Macedo',,https://twitter.com/ZeMariaMacedo,ZeMariaMacedo,,
12,'Checkmate btc',,https://twitter.com/_Checkmatey_,_Checkmatey_,,
